prefix,target,model,mode,loss,Baseline-prev,Baseline-horizon,horizon,return_no_interest,return_interest,set,is_better
BA,Close,NBEATSx,financial,39.98,21.85,40.17,2,,,val,1
BA,Close,NBEATSx,financial,61.95,21.85,70.9,5,,,val,1
BA,Close,NHITS,financial,39.33,21.85,40.17,2,,,val,1
BA,Close,NHITS,financial,64.77,21.85,70.9,5,,,val,1
BA,Close,TFT,financial,36.12,21.85,40.17,2,,,val,1
BA,Close,TFT,financial,66.69,21.85,70.9,5,,,val,1
BA,Close,NBEATSx,news,38.86,21.85,40.17,2,,,val,1
BA,Close,NBEATSx,news,64.48,21.85,70.9,5,,,val,1
BA,Close,NHITS,news,38.38,21.85,40.17,2,,,val,1
BA,Close,NHITS,news,66.54,21.85,70.9,5,,,val,1
BA,Close,TFT,news,36.0,21.85,40.17,2,,,val,1
BA,Close,TFT,news,63.6,21.85,70.9,5,,,val,1
BA,Close,NBEATSx,financial_and_news,39.26,21.85,40.17,2,,,val,1
BA,Close,NBEATSx,financial_and_news,64.38,21.85,70.9,5,,,val,1
BA,Close,NHITS,financial_and_news,39.17,21.85,40.17,2,,,val,1
BA,Close,NHITS,financial_and_news,65.29,21.85,70.9,5,,,val,1
BA,Close,TFT,financial_and_news,36.68,21.85,40.17,2,,,val,1
BA,Close,TFT,financial_and_news,60.87,21.85,70.9,5,,,val,1
BA,Close,NBEATSx,financial,17.93,8.89,8.89,2,,,test,0
BA,Close,NBEATSx,financial,58.81,8.89,43.19,5,,,test,0
BA,Close,NHITS,financial,16.97,8.89,8.89,2,,,test,0
BA,Close,NHITS,financial,45.1,8.89,43.19,5,,,test,0
BA,Close,TFT,financial,17.93,8.89,8.89,2,,,test,0
BA,Close,TFT,financial,49.6,8.89,43.19,5,,,test,0
BA,Close,NBEATSx,news,16.76,8.89,8.89,2,,,test,0
BA,Close,NBEATSx,news,44.77,8.89,43.19,5,,,test,0
BA,Close,NHITS,news,16.91,8.89,8.89,2,,,test,0
BA,Close,NHITS,news,44.45,8.89,43.19,5,,,test,0
BA,Close,TFT,news,21.07,8.89,8.89,2,,,test,0
BA,Close,TFT,news,45.93,8.89,43.19,5,,,test,0
BA,Close,NBEATSx,financial_and_news,16.27,8.89,8.89,2,,,test,0
BA,Close,NBEATSx,financial_and_news,45.54,8.89,43.19,5,,,test,0
BA,Close,NHITS,financial_and_news,16.56,8.89,8.89,2,,,test,0
BA,Close,NHITS,financial_and_news,44.28,8.89,43.19,5,,,test,0
BA,Close,TFT,financial_and_news,20.66,8.89,8.89,2,,,test,0
BA,Close,TFT,financial_and_news,49.64,8.89,43.19,5,,,test,0
BA,log_return_1,NBEATSx,financial,0.57,0.6,0.48,2,,,val,1
BA,log_return_1,NBEATSx,financial,0.62,0.6,0.53,5,,,val,1
