,cols_used,mse_val,mse_train,aggregated_shap
20,"('finbert_Score', 'mean_influential', 'log_return_1', 'minmax_low_norm', 'minmax_high_norm')",0.0013409201055765152,0.0011525088009329356,"[[0.00186571 0.00351386 0.00061528 0.00414248 0.00403796]
 [0.00216673 0.00299279 0.00068425 0.00427944 0.00392349]
 [0.00364012 0.00268144 0.00064338 0.0043209  0.00353289]
 [0.00602266 0.00264596 0.00063729 0.00408816 0.00287713]
 [0.00770141 0.00196705 0.00097025 0.00378775 0.00221528]
 [0.00800767 0.00213109 0.00124102 0.0032913  0.0012945 ]
 [0.00627474 0.00158175 0.00131741 0.00245813 0.00082064]
 [0.00309294 0.00184794 0.00138541 0.00145716 0.00099563]
 [0.00267981 0.00274179 0.00124266 0.00065816 0.00115734]
 [0.00397309 0.00294331 0.00108847 0.00097684 0.00084499]]"
21,"('finbert_Score', 'mean_trustworthy', 'log_return_5', 'minmax_daily_variation', 'minmax_close_norm')",0.0013218651292845607,0.0007234711352095654,"[[0.00417543 0.00402678 0.00177547 0.00195538 0.00229149]
 [0.00318026 0.00408058 0.00128652 0.00302724 0.00184912]
 [0.00270168 0.00474855 0.00115655 0.00381041 0.00136088]
 [0.00246911 0.00442292 0.00124009 0.00380359 0.00123333]
 [0.00348581 0.00408731 0.00108169 0.00325744 0.00137126]
 [0.00455031 0.0036037  0.00112289 0.00262475 0.00157297]
 [0.00465728 0.00288955 0.00114277 0.00206684 0.00174674]
 [0.0037702  0.00262917 0.0013281  0.00177573 0.00176413]
 [0.00241037 0.00409658 0.0015468  0.00188132 0.00177704]
 [0.0016329  0.0044035  0.00168173 0.00279716 0.00166728]]"
22,"('finbert_Score', 'mean_trustworthy', 'minmax_high_close_pressure', 'minmax_low_open_pressure', 'minmax_open_norm')",0.001291317050345242,0.0010843212022835348,"[[0.0024276  0.00404597 0.00064854 0.00073897 0.00174366]
 [0.00242822 0.00278386 0.00056083 0.00059974 0.0017401 ]
 [0.00300028 0.00260022 0.00051552 0.00083366 0.00158092]
 [0.0044809  0.0026673  0.00056586 0.00145821 0.00136915]
 [0.00591652 0.00280838 0.00061811 0.00186934 0.00118922]
 [0.00702551 0.00292717 0.00067862 0.00200974 0.00112738]
 [0.00669037 0.00279825 0.00068178 0.00162174 0.00118555]
 [0.00499979 0.00385537 0.00087566 0.00076931 0.00135864]
 [0.00271897 0.00563806 0.00163261 0.00060311 0.00154898]
 [0.00241855 0.0054893  0.00216533 0.00129545 0.00155505]]"
23,"('finbert_Score', 'mean_clickbait', 'norm_roc_14', 'minmax_daily_variation', 'minmax_high_norm')",0.0012801724951714277,0.000851950482317555,"[[0.00282531 0.00351904 0.00267181 0.00167687 0.00225368]
 [0.00334452 0.00357139 0.00218144 0.00256138 0.0020988 ]
 [0.00390638 0.00325867 0.00197928 0.00346694 0.0016436 ]
 [0.00440784 0.00286498 0.0025814  0.00381577 0.00122889]
 [0.00451873 0.00250748 0.00317894 0.00370975 0.00086561]
 [0.00466785 0.00322377 0.0032694  0.00312006 0.00090121]
 [0.00343997 0.00483073 0.00273721 0.00231329 0.00129565]
 [0.00275911 0.00626533 0.00171557 0.0017175  0.00190543]
 [0.00238297 0.00709092 0.00106619 0.00121369 0.00227102]
 [0.00257254 0.00589921 0.0012236  0.00163397 0.00187308]]"
24,"('finbert_Score', 'norm_rsi_14', 'norm_slowk_14', 'EURUSD=X_Close', 'minmax_low_norm')",0.0009703697287477553,0.0012473919415909901,"[[0.00178253 0.00254337 0.00614147 0.00020568 0.00130595]
 [0.00140937 0.00229477 0.00517835 0.00022996 0.00133207]
 [0.00151549 0.00206919 0.0044781  0.00023818 0.0011529 ]
 [0.00184474 0.0017694  0.00365525 0.00023346 0.00079988]
 [0.00263981 0.00154409 0.00358831 0.00020222 0.00043937]
 [0.00273362 0.00133818 0.00319374 0.00016561 0.00029017]
 [0.00338659 0.00125819 0.00275438 0.00013896 0.00044673]
 [0.00349747 0.00174399 0.00278765 0.00016095 0.00058888]
 [0.00326157 0.00230783 0.00270341 0.00026316 0.00058209]
 [0.00263983 0.00233763 0.00258666 0.00028551 0.00053826]]"
25,"('finbert_Score', 'norm_rsi_gspc_14', 'log_return_1', 'minmax_high_close_pressure', 'minmax_close_norm')",0.0012768780579790473,0.0013797870424832723,"[[0.00171249 0.0056621  0.00171139 0.00097492 0.00150592]
 [0.0011467  0.00448133 0.001519   0.00071926 0.00095385]
 [0.00160298 0.00319057 0.00119468 0.00063771 0.00066141]
 [0.00324106 0.00178876 0.0008635  0.0007301  0.00093491]
 [0.00469572 0.00068186 0.00053695 0.00094469 0.00125008]
 [0.00513351 0.00060257 0.00035305 0.00103011 0.00154752]
 [0.00390751 0.00068252 0.00028696 0.00103578 0.00170546]
 [0.00133938 0.00033919 0.00032004 0.00106234 0.00163437]
 [0.0031287  0.00049445 0.00032847 0.00132169 0.00137322]
 [0.00483518 0.001222   0.00039385 0.00138472 0.0010018 ]]"
26,"('bart_Score', 'vader_Score', 'mean_trustworthy', 'norm_slowk_14', 'EURUSD=X_Close')",0.0012886821059510112,0.001031427401991636,"[[1.59157939e-03 3.85001242e-03 1.58062385e-03 1.52282796e-03
  1.21256399e-04]
 [1.48056712e-03 4.91284995e-03 1.60531166e-03 1.45404878e-03
  1.30243502e-04]
 [1.50366024e-03 5.34582160e-03 1.92339978e-03 1.37621713e-03
  1.26247632e-04]
 [1.40269339e-03 4.77222853e-03 2.08343320e-03 1.53687776e-03
  1.42468843e-04]
 [1.83050444e-03 3.25808510e-03 2.43424604e-03 2.47075016e-03
  1.77740265e-04]
 [2.70209728e-03 2.69952302e-03 2.91624916e-03 2.99734417e-03
  2.42306703e-04]
 [3.51047798e-03 4.85733435e-03 3.43583602e-03 3.39471711e-03
  3.01161143e-04]
 [4.21484713e-03 6.69706225e-03 4.91501619e-03 3.25539046e-03
  3.04486243e-04]
 [3.68189000e-03 6.73164555e-03 6.95710616e-03 3.06317061e-03
  2.14197354e-04]
 [3.17377476e-03 4.09506853e-03 7.23490564e-03 3.86611897e-03
  7.42645974e-05]]"
27,"('bart_Score', 'vader_Score', 'mean_clickbait', 'norm_rsi_gspc_14', 'log_return_1')",0.0012988942908123136,0.0016681896641579437,"[[0.00138985 0.00481365 0.00145732 0.00075284 0.00020822]
 [0.00142636 0.00539107 0.00122225 0.00092778 0.00037202]
 [0.00157146 0.00616171 0.00132102 0.00125877 0.00047277]
 [0.00209711 0.00621186 0.00118279 0.00166317 0.00045504]
 [0.00242509 0.00597593 0.00117052 0.00190003 0.00080702]
 [0.00283141 0.00541054 0.00139309 0.00165062 0.00111413]
 [0.00313968 0.00470327 0.00205701 0.00077518 0.0015591 ]
 [0.00335698 0.00472253 0.00333947 0.0008905  0.0019292 ]
 [0.0028953  0.00545241 0.00479924 0.00285363 0.0019347 ]
 [0.00160619 0.00524718 0.00503768 0.00402414 0.00158538]]"
28,"('bart_Score', 'vader_Score', 'norm_rsi_14', 'minmax_BA_Volume', 'minmax_high_close_pressure')",0.0012439042329788208,0.001265685389037518,"[[0.003051   0.00277437 0.00154796 0.00142695 0.00149781]
 [0.00218664 0.00305755 0.00068958 0.00159958 0.00130826]
 [0.00186167 0.003635   0.00061405 0.00200498 0.00102922]
 [0.00237995 0.00423094 0.00121064 0.00223259 0.00084008]
 [0.00289593 0.00407131 0.00186852 0.00201184 0.00069998]
 [0.00320731 0.00330594 0.00197268 0.00179236 0.00071669]
 [0.00311163 0.00218014 0.0017165  0.00166632 0.0008634 ]
 [0.00306542 0.00197839 0.001323   0.00171191 0.00171136]
 [0.00216805 0.00270948 0.00138192 0.00154139 0.0031168 ]
 [0.00165361 0.00407317 0.00168931 0.00111496 0.00382318]]"
29,"('bart_Score', 'vader_Score', 'norm_roc_14', 'log_return_5', 'minmax_daily_variation')",0.0012070663506165147,0.0011365464120820718,"[[0.00284305 0.00575177 0.00408131 0.0010021  0.00339287]
 [0.00260202 0.0060199  0.00391058 0.00103616 0.00356136]
 [0.00249563 0.00605268 0.00338059 0.00101083 0.00366377]
 [0.00264156 0.00568616 0.00240274 0.0010213  0.00336165]
 [0.00257441 0.00522282 0.00150054 0.00093725 0.00256418]
 [0.00281684 0.0052495  0.00181869 0.00069993 0.00166761]
 [0.00320369 0.00593854 0.00245875 0.00085457 0.00114371]
 [0.00398219 0.00617451 0.00230911 0.00173661 0.00098037]
 [0.00482543 0.00626866 0.00166616 0.00301265 0.00093744]
 [0.00556203 0.00524288 0.00195093 0.00386743 0.00161263]]"
