,timestamp,open,high,low,close,volume
2861,2012-05-25,195.11,196.0,194.0,194.3,2901900
2862,2012-05-24,195.99,196.28,194.0,196.09,3569300
2863,2012-05-23,195.53,196.49,193.2,196.12,4100000
2864,2012-05-22,198.04,198.26,196.06,196.82,3567100
2865,2012-05-21,195.98,197.93,194.63,197.76,3831700
2866,2012-05-18,198.78,198.78,195.16,195.88,5737100
2867,2012-05-17,199.67,200.79,197.64,197.89,5626300
2868,2012-05-16,199.42,201.35,198.18,199.73,5001000
2869,2012-05-15,199.44,201.4679,198.76,199.04,2987400
2870,2012-05-14,199.92,200.71,198.56,199.44,3029200
2871,2012-05-11,199.96,202.12,199.95,201.17,2391500
2872,2012-05-10,201.0,203.25,200.02,200.6,3830500
2873,2012-05-09,199.99,203.0,199.06,201.23,3742500
2874,2012-05-08,202.44,203.06,199.718,201.48,3881500
2875,2012-05-07,203.96,204.77,202.9,203.75,3373400
2876,2012-05-04,206.47,207.11,204.4,204.99,4023600
2877,2012-05-03,208.27,208.92,206.55,207.24,2826600
2878,2012-05-02,206.97,208.27,206.91,208.06,2360300
2879,2012-05-01,207.18,208.929,206.71,208.0,2715900
2880,2012-04-30,206.71,207.96,206.32,207.08,2773200
2881,2012-04-27,206.47,208.17,205.91,206.81,3496900
2882,2012-04-26,203.4,206.21,203.4,205.58,3302700
2883,2012-04-25,202.02,203.69,201.8,203.57,4003400
2884,2012-04-24,199.06,202.48,198.87,200.0,5626300
2885,2012-04-23,197.89,199.1,196.791,198.62,3618800
2886,2012-04-20,199.83,200.12,199.09,199.6,4758200
2887,2012-04-19,200.03,201.26,197.521,199.51,5762900
2888,2012-04-18,202.43,204.07,200.0,200.13,10153500
2889,2012-04-17,204.57,207.64,204.15,207.45,6065500
2890,2012-04-16,204.74,205.97,202.72,202.72,3826600
2891,2012-04-13,204.32,204.6499,202.8,202.8,3767000
2892,2012-04-12,202.8,205.56,202.64,205.32,2929600
2893,2012-04-11,203.99,204.32,202.4593,202.58,3366200
2894,2012-04-10,204.94,205.74,202.17,202.33,4132900
2895,2012-04-09,204.4,206.17,203.37,204.94,3326900
2896,2012-04-05,205.15,205.68,204.46,205.47,3809000
2897,2012-04-04,206.22,206.9802,205.19,206.05,4404000
2898,2012-04-03,209.31,210.69,208.54,209.5,4091500
2899,2012-04-02,208.96,209.69,208.09,209.47,3387900
2900,2012-03-30,208.74,209.12,208.012,208.65,3215200
2901,2012-03-29,206.09,208.5,206.02,208.27,3403700
2902,2012-03-28,207.44,208.69,206.27,207.29,3265700
2903,2012-03-27,208.46,208.66,207.0,207.18,2704500
2904,2012-03-26,206.45,207.92,206.32,207.77,3418200
2905,2012-03-23,205.89,205.96,204.56,205.48,3036200
2906,2012-03-22,204.0,205.99,203.96,205.49,3307800
2907,2012-03-21,204.32,205.77,204.3,204.69,3329900
2908,2012-03-20,204.74,205.0,203.702,204.25,3695100
2909,2012-03-19,205.71,206.53,204.5,205.72,3763200
2910,2012-03-16,207.03,207.52,206.01,206.01,9637000
2911,2012-03-15,204.94,206.18,204.74,206.0,3621100
2912,2012-03-14,203.78,205.15,203.64,204.72,4602300
2913,2012-03-13,201.72,203.9,201.6107,203.78,4866000
2914,2012-03-12,200.93,201.57,200.23,201.0,3119700
2915,2012-03-09,199.98,201.1,199.72,200.62,3178200
2916,2012-03-08,199.24,199.99,198.65,199.81,3145800
2917,2012-03-07,198.09,198.57,197.31,197.77,3346900
2918,2012-03-06,199.14,199.64,196.812,197.26,5214700
2919,2012-03-05,198.36,201.19,198.3,200.66,6938000
2920,2012-03-02,197.1,198.89,197.06,198.81,3727400
2921,2012-03-01,197.23,198.47,196.93,197.53,3560300
2922,2012-02-29,197.86,199.17,196.45,196.73,5117100
2923,2012-02-28,197.75,198.96,197.4322,197.98,3167400
